Age,Flight Distance,Ease of Online booking,Seat comfort,Inflight entertainment,Baggage handling,Checkin service,Gender,Customer Type,Type of Travel,satisfaction
13,460,3,5,5,4,4,0,0,0,0
25,235,3,1,1,3,1,0,1,1,0
26,1142,2,5,5,4,4,1,0,1,1
25,562,5,2,2,3,1,1,0,1,0
61,214,3,5,3,4,3,0,0,1,1
26,1180,2,1,1,4,4,1,0,0,0
47,1276,2,2,2,4,3,0,0,0,0
52,2035,4,5,5,5,4,1,0,1,1
41,853,2,3,1,1,4,1,0,1,0
20,1061,3,3,2,4,4,0,1,1,0
24,1182,5,2,2,5,3,1,1,1,0
12,308,2,1,1,5,5,1,0,0,0
53,834,4,1,1,3,4,0,0,1,0
33,946,4,4,4,2,2,0,0,0,1
26,453,3,2,2,2,2,1,0,0,0
13,486,2,1,4,4,1,0,1,1,0
26,2123,3,4,4,4,5,1,0,1,1
41,2075,2,4,5,5,3,0,0,1,1
45,2486,4,5,5,5,3,1,0,1,1
38,460,3,5,5,4,3,0,0,0,0
9,1174,2,1,2,3,4,0,0,1,0
17,208,3,5,5,3,3,1,0,0,0
43,752,3,5,3,5,3,1,0,0,-1
58,2139,4,4,4,4,2,1,0,0,0
23,452,5,1,1,5,3,1,1,1,1
57,719,4,5,5,4,4,0,0,0,0
33,1561,1,3,4,3,5,1,0,1,1
49,315,4,1,4,4,2,1,0,1,1
36,3347,1,1,3,3,2,1,0,1,0
22,2342,3,1,3,3,4,0,0,0,0
31,819,4,5,5,3,1,1,0,1,1
15,1043,2,5,5,4,2,1,1,1,0
35,2611,4,4,3,5,4,1,0,1,1
67,1192,4,5,5,3,5,1,0,0,0
37,1182,3,1,1,3,1,0,1,1,0
40,349,4,1,1,3,3,1,0,1,0
34,883,4,2,5,5,4,1,1,1,0
40,550,4,2,2,4,3,0,0,0,0
47,302,4,5,4,4,4,1,0,0,1
41,354,1,1,1,4,4,0,1,1,0
39,1734,4,5,4,4,4,0,0,1,1
25,1452,3,3,3,5,5,1,1,1,0
41,296,0,3,4,4,4,0,0,1,1
38,2882,3,4,5,5,2,1,0,1,1
50,460,1,5,3,3,4,1,0,1,1
29,529,1,5,5,5,5,0,0,1,1
22,349,2,4,4,4,4,1,0,0,0
13,1522,1,1,1,3,1,1,0,1,0
54,612,3,3,5,5,4,0,0,1,1
21,1454,2,5,5,3,1,0,0,0,0
28,731,1,2,2,2,3,0,0,1,0
27,2076,3,4,4,4,4,0,0,1,1
69,309,5,3,5,5,4,1,0,1,1
35,775,2,4,4,3,4,0,0,0,0
60,861,2,4,4,4,4,1,0,0,0
45,3334,2,5,4,4,3,1,0,1,1
57,2496,0,5,5,5,4,1,0,1,1
40,602,5,5,5,5,3,0,0,1,1
38,308,3,4,4,4,2,1,1,1,0
23,446,2,4,4,4,5,0,1,1,0
39,216,2,3,3,4,2,0,1,1,0
52,3475,2,4,4,4,4,1,0,1,1
25,646,2,3,4,3,2,0,1,1,0
48,2501,3,4,5,5,4,1,0,1,1
59,2227,5,4,4,4,3,1,0,1,1
25,1426,3,4,4,4,4,0,0,1,1
38,190,2,4,4,4,4,0,0,0,0
46,1532,2,5,5,5,5,0,0,1,1
50,308,1,2,2,2,2,0,0,1,0
38,157,4,4,4,1,1,1,0,1,1
53,1506,4,5,5,5,4,1,0,1,1
30,205,2,3,3,1,1,0,0,1,0
39,895,2,5,5,4,5,0,1,1,0
66,516,1,2,2,5,5,0,0,0,0
45,909,3,1,1,5,3,0,0,0,0
25,1435,5,1,1,5,4,1,1,1,1
52,1190,4,3,2,2,1,0,0,1,0
64,1259,4,2,2,3,4,0,0,0,1
